Rxn	Flux
acOUT	0.61	0.45	0.20	0.00	0.00
acIN	0.00	0.00	0.00	0.00	0.00
biomassOUT	0.08	0.08	0.10	0.03	0.03
co2OUT	3.00	2.80	7.00	7.10	8.70
ethOUT	0.00	0.00	2.60	6.90	8.50
glyOUT	-0.00	-0.00	0.72	0.34	0.34
glcIN	0.00	1.10	3.10	3.83	4.63
o2IN	6.67	2.77	4.00	0.02	0.02
ethIN	3.70	0.00	0.00	0.00	0.00
PIIn	0.03	0.03	0.04	0.01	0.01
PIOut	-0.00	-0.00	-0.00	-0.00	-0.00
galIN	0.00	0.00	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00	0.00	0.00
PGM1_2	0.00	0.00	0.00	-0.00	-0.00
HXK	-0.00	1.10	3.10	3.83	4.63
PGI	-0.22	0.90	2.54	3.73	4.53
PFK	-0.00	0.87	2.70	3.74	4.54
FBP	0.25	-0.00	-0.00	-0.00	-0.00
FBA	-0.25	0.87	2.70	3.74	4.54
TPI	-0.25	0.87	1.98	3.40	4.20
GLD	-0.55	1.70	4.72	7.13	8.73
PGK	-0.58	1.67	4.68	7.12	8.72
GPM	-0.58	1.67	4.68	7.12	8.72
ENO	-0.58	1.67	4.68	7.12	8.72
CDC	0.13	1.60	4.59	7.09	8.69
ZWF	0.01	0.01	0.31	0.04	0.04
PGL	0.01	0.01	0.31	0.04	0.04
GND	-0.00	0.00	0.30	0.03	0.03
RPI	0.03	0.03	0.13	0.02	0.02
RPE	-0.03	-0.03	0.16	0.01	0.01
TKLa	-0.00	-0.00	0.09	0.01	0.01
TAL1	-0.00	-0.00	0.09	0.01	0.01
TKLb	-0.03	-0.02	0.07	0.00	0.00
DAR	-0.00	-0.00	0.72	0.34	0.34
GPP	0.00	0.00	0.72	0.34	0.34
PDC	-0.00	0.45	2.88	7.00	8.60
ADH1	-3.70	0.00	2.60	6.90	8.50
ALD6	0.49	0.45	0.00	0.10	0.10
ALD2	3.21	0.00	0.28	0.00	-0.00
ICL1	0.94	0.14	0.01	0.00	0.00
MLS1	0.94	0.14	0.01	0.00	0.00
ATPX	1.00	1.00	3.80	3.96	5.56
PDH	-0.00	1.04	1.39	-0.00	-0.00
ACS	3.09	-0.00	0.08	0.10	0.10
ADK1_1	3.09	0.00	0.08	0.10	0.10
PCK	0.78	-0.00	-0.00	-0.00	-0.00
PYC	-0.00	-0.00	0.17	0.05	0.05
CIT	1.95	0.71	1.21	0.03	0.03
ACO	1.95	0.71	1.21	0.03	0.03
IDH	0.94	0.50	1.10	0.00	0.00
IDPH	0.08	0.07	0.09	0.03	0.03
KGD1	1.00	0.56	1.18	0.02	0.02
LSC2	1.00	0.56	1.18	0.02	0.02
SDH12	1.94	0.70	1.19	0.03	0.03
FRDS2	-0.00	-0.00	-0.00	-0.00	-0.00
FUM1	1.94	0.70	1.19	0.03	0.03
MDH1	2.88	0.84	1.21	0.03	0.03
NDI1	4.93	3.04	5.01	-0.00	-0.00
NDE2	6.42	1.76	1.75	-0.00	-0.00
SDH34	1.94	0.70	1.19	0.03	0.03
RIP1	13.29	5.50	7.95	0.03	0.03
COX1	26.59	11.01	15.91	0.05	0.05
ATP1	14.67	5.76	8.27	0.01	0.01
ShuttleX	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransport	15.68	6.33	9.45	0.04	0.04
OAC1	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTrans	0.13	1.15	1.54	0.04	0.04
CAT2	3.03	-0.00	-0.00	0.08	0.08
CO2TRANS	2.02	2.17	3.76	0.05	0.05
ShuttleXRev	-0.00	-0.00	-0.00	0.09	0.09
ATPTransportRev	-0.00	-0.00	-0.00	-0.00	-0.00
OAC1Rev	0.93	0.13	-0.00	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00	-0.00	-0.00
CAT2Rev	-0.00	0.06	-0.00	-0.00	-0.00
HDECOUP	-0.00	-0.00	0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROT	0.31	0.28	0.37	0.10	0.10
VGRORNA	0.03	0.03	0.04	0.01	0.01
VGRODNA	0.00	0.00	0.00	0.00	0.00
VGROLIPID	0.00	0.00	0.00	0.00	0.00
VGROGLYCOGEN	0.00	0.00	0.00	0.00	0.00
VGROTREHALOSE	0.00	0.00	0.00	0.00	0.00
VGROMANNAN	-0.00	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.20	0.19	0.25	0.07	0.07
VGROMAINTAIN	4.55	4.15	5.50	1.54	1.54
GROWTH	0.08	0.08	0.10	0.03	0.03
