Rxn	Flux
acOUT	0.54	0.00	22.18
acIN	0.00	0.00	0.00
biomassOUT	0.08	0.09	0.10
co2OUT	2.85	10.30	22.90
ethOUT	0.00	9.60	0.00
glyOUT	0.00	0.80	0.90
glcIN	1.15	5.90	12.30
o2IN	2.82	0.26	22.41
ethIN	0.00	0.00	0.00
PIIn	0.03	0.04	0.04
PIOut	0.00	0.00	0.00
galIN	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00
PGM1_2	0.00	0.00	0.00
HXK	1.15	5.90	12.30
PGI	0.94	5.47	11.87
PFK	0.92	5.57	11.94
FBP	-0.00	-0.00	-0.00
FBA	0.92	5.57	11.94
TPI	0.91	4.76	11.04
GLD	1.79	10.34	22.98
PGK	1.76	10.31	22.95
GPM	1.76	10.31	22.95
ENO	1.76	10.31	22.95
CDC	1.69	10.22	22.85
ZWF	0.01	0.20	0.17
PGL	0.01	0.20	0.17
GND	-0.00	0.19	0.16
RPI	0.03	0.09	0.09
RPE	-0.03	0.09	0.07
TKLa	-0.00	0.06	0.05
TAL1	-0.00	0.06	0.05
TKLb	-0.02	0.03	0.02
DAR	0.00	0.80	0.90
GPP	-0.00	0.80	0.90
PDC	0.54	9.77	22.51
ADH1	0.00	9.60	0.00
ALD6	0.46	0.17	0.26
ALD2	0.08	-0.00	22.25
ICL1	0.01	-0.00	-0.00
MLS1	0.01	-0.00	-0.00
ATPX	1.00	1.00	62.29
PDH	0.89	0.14	-0.00
ACS	-0.00	0.17	0.33
PCK	-0.00	-0.00	-0.00
PYC	0.14	0.17	0.19
CIT	0.70	0.08	0.09
ACO	0.70	0.08	0.09
IDH	0.62	0.00	0.00
IDPH	0.07	0.08	0.09
KGD1KGD2	0.68	0.07	0.08
SDH12	0.69	0.07	0.08
FRDS2	-0.00	-0.00	-0.00
FUM1	0.69	0.07	0.08
MDH1	0.70	0.07	0.08
NDI1	2.99	0.40	0.29
NDE2	1.92	0.01	44.40
SDH34	0.69	0.07	0.08
RIP1	5.60	0.48	44.77
COX1	11.20	0.97	89.55
ATP1	5.88	0.45	50.31
ShuttleX	-0.00	-0.00	-0.00
ATPTransport	6.56	0.53	50.39
OAC1	-0.00	0.01	0.01
PyrTrans	1.01	0.28	0.15
CAT2	-0.00	0.10	0.26
CO2TRANS	2.26	0.29	0.17
ShuttleXRev	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00
OAC1Rev	-0.00	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00
CAT2Rev	0.06	-0.00	-0.00
HDECOUP	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00
VGROPROT	0.29	0.34	0.37
VGRORNA	0.03	0.03	0.04
VGRODNA	0.00	0.00	0.00
VGROLIPID	0.00	0.00	0.00
VGROGLYCOGEN	0.00	0.00	0.00
VGROTREHALOSE	0.00	0.00	0.00
VGROMANNAN	-0.00	-0.00	-0.00
VGROGLUCAN	0.19	0.23	0.25
VGROMAINTAIN	4.25	5.05	5.50
GROWTH	0.08	0.09	0.10
